,region,district,party,name,gender,birth,job,achievement,career,vote_rate,age,regeion,job2,achievement,,,,
52,비례,비례대표,통합진보당,김재연,여,1980-10-30,정당인,한국외국어대학교 러시아어학과졸업,(전)한국외국어대학교 총학생회장,,37,비례,정당인,한국외국어대학교,,,,
5,경북,영양군영덕군봉화군울진군,새누리당,강석호,남,1955-12-03,정치인(국회의원),한국외국어대학교 스페인어과 졸업,현)제18대 국회의원(농림수산식품위원회 간사),"43,060",62,경북,국회의원,한국외국어대학교,,,,
238,비례,비례대표,민주통합당,임수경,여,1968-11-06,사회운동가,한국외국어대학교 신문방송학 박사과정수료,(전)방송위 남북방송교류위원,,49,비례,운동가,한국외국어대학교,,,,
202,비례,비례대표,통합진보당,이석기,남,1962-02-02,(주)사회동향연구소 대표,한국외국어대학교 중국어통번역학과졸업,(현)(주)사회동향연구소 대표,,55,비례,기타,한국외국어대학교,,,,
206,경북,고령군성주군칠곡군,새누리당,이완영,남,1957-07-07,정당인,한국항공대학교대학원 항공운항관리학과 졸업(경영학박사),(전)대구지방고용노동청장,"42,569",60,경북,정당인,한국항공대학교대학원,,,,
234,부산,부산진구을,새누리당,이헌승,남,1963-05-11,정당인,한국해양대학교 무역학과 박사과정 수료,(전) 한나라당 박근혜 대통령경선후보 수행부단장,"44,321",54,부산,정당인,한국해양대학교,,,,
216,부산,영도구,새누리당,이재균,남,1954-09-20,동아대학교 석좌교수,한국해양대학교 해운경영학 박사,(전)국토해양부 제2차관,"27,597",63,부산,교수,한국해양대학교,,,,
105,대전,서구갑,민주통합당,박병석,남,1952-01-25,국회의원,한양대대학원 신문방송학 박사과정 수료,(전)민주당 정책위의장,"53,671",65,대전,국회의원,한양대대학원,,,,
101,충북,보은군옥천군영동군,새누리당,박덕흠,남,1953-10-18,대한전문건설협회 중앙회 회장,한양대학교 대학원 토목공학과 박사과정 졸업,(현)새누리당 중앙위 재정분과 부위원장,"30,196",64,충북,기업인,한양대학교,,,,
173,서울,성북구갑,민주통합당,유승희,여,1960-04-26,정당인,한양대학교 대학원 행정학과 졸업(행정학박사),(전)17대 국회의원,"54,057",57,서울,정당인,한양대학교,,,,
56,부산,남구갑,새누리당,김정훈,남,1957-11-03,국회의원,한양대학교 법과대학 법학과 졸업,(전) 한나라당 부산시당 위원장,"33,764",60,부산,국회의원,한양대학교,,,,
281,서울,광진구을,민주통합당,추미애,여,1958-10-23,국회의원,한양대학교 법학과 졸업,(전)고등법원 판사,"45,980",59,서울,국회의원,한양대학교,,,,
71,비례,비례대표,민주통합당,김현,여,1965-10-15,정당인,한양대학교 사학과졸업,(전)노무현대통령 춘추관장,,52,비례,정당인,한양대학교,,,,
179,인천,남동구을,민주통합당,윤관석,남,1960-08-17,정당인,한양대학교 신문학과 졸업,(전) 송영길 인천시장 초대 대변인,"33,701",57,인천,정당인,한양대학교,,,,
293,서울,성동구을,민주통합당,홍익표,남,1967-11-20,북한대학원대학교 겸임교수,한양대학교 정치외교학과 대학원 졸업 (정치학 박사),(현) 북한대학원대학교 겸임교수,"31,564",50,서울,교수,한양대학교,,,,
37,서울,강서구을,새누리당,김성태,남,1958-05-23,국회의원,한양대학교 행정대학원 사회복지학과 졸업(행정학석사),(현)새누리당 비정규직대책특별위원회 위원장,"61,967",59,서울,국회의원,한양대학교,,,,
124,경기,안산시단원구을,민주통합당,부좌현,남,1956-05-13,정당인,한양대학교 행정대학원 행정학과 졸업(행정학석사),(현)민주통합당 정책위원회 부의장,"29,176",61,경기,정당인,한양대학교,,,,
290,충남,홍성군예산군,새누리당,홍문표,남,1947-10-05,정당인,한양대학교 행정대학원(석사) 졸업,(전)17대 국회의원,"39,191",70,충남,정당인,한양대학교,,,,
27,경기,안산시단원구갑,새누리당,김명연,남,1964-02-28,정당인,한양대학교 행정ㆍ자치대학원 지방자치학과 졸업(지방자치학석사),(전)안산시의원,"26,767",53,경기,정당인,한양대학교,,,,
36,경남,창원시진해구,새누리당,김성찬,남,1954-05-07,KAIST 초빙교수,해군사관학교 졸업(30기),(전)해군참모총장(28대),"40,304",63,경남,교수,해군사관학교,,,,
146,서울,강동구을,민주통합당,심재권,남,1946-08-15,정당인,"호주 멜본 모나쉬대학 국제정치학 박사(Ph.D), 1988~1993",(전)제16대 국회의원,"51,451",71,서울,정당인,호주모나쉬대학,,,,
112,비례,비례대표,통합진보당,박원석,남,1970-02-22,정당인,홍콩대학교 법학석사(인권법)(2003.09~2004.05),(전)참여연대 협동사무처장,,47,비례,정당인,홍콩대학교,,,,
