,region,district,party,name,gender,birth,job,achievement,career,vote_rate,age,regeion,job2,achievement,,,,
215,대전,동구,새누리당,이장우,남,1965-02-10,대전대학교 행정학과 대우조교수,대전대학교 대학원 졸업(행정학박사),前) 대전광역시 동구청장,"36,780",52,대전,교수,대전대학교,,,,
108,대전,대덕구,새누리당,박성효,남,1955-02-20,정당인,대전대학교대학원 행정학과 공공행정(행정학 박사),(前) 대전광역시장,"40,425",62,대전,정당인,대전대학교대학원,,,,
57,비례,비례대표,통합진보당,김제남,여,1963-06-12,녹색연합녹색에너지디자인 운영위원장,덕성여자대학교 사학과졸업,(전)녹색연합 사무처장,,54,비례,위원장,덕성여자대학교,,,,
8,제주,제주시갑,민주통합당,강창일,남,1952-01-28,국회의원,"동경대학대학원인문사회계연구과졸업.문학박사(동양사학전공,기간:'87.4.1~'94.3.31)",(현) 국회 독도영토수호대책특별위원장,"42,006",65,제주,국회의원,"동경대학대학원인문사회계연구과졸업.문학박사(동양사학전공,기간:'87.4.1~'94.3.31)",,,,
19,충남,부여군청양군,새누리당,김근태,남,1952-11-26,정당인,동국대학교 경영대학원 경영학과 졸업,(전)제1야전군 사령관,"22,886",65,충남,정당인,동국대학교,,,,
184,대구,달서구을,새누리당,윤재옥,남,1961-09-10,한양대학교 공공정책대학원특임교수,동국대학교 대학원 경찰행정학과 박사과정 수료,(전)경기지방경찰청장,"61,563",56,대구,교수,동국대학교,,,,
279,경기,남양주시갑,민주통합당,최재성,남,1965-09-09,국회의원,동국대학교 대학원 행정학과 박사과정 수료,(현)제18대 국회의원,"59,468",52,경기,국회의원,동국대학교,,,,
291,인천,부평구을,민주통합당,홍영표,남,1957-04-30,국회의원,동국대학교 대학원 행정학과 박사과정 수료,(전)노무현정부 국무총리실 시민사회비서관,"63,099",60,인천,국회의원,동국대학교,,,,
133,비례,비례대표,새누리당,송영근,남,1947-09-28,정당인,동국대학교 불교대학원 불교학과졸업(문학석사),(전)국군 기무사령관,,70,비례,정당인,동국대학교,,,,
82,서울,마포구갑,민주통합당,노웅래,남,1957-08-03,정당인,동국대학교 언론정보대학원졸업(언론학석사),(전)17대 국회의원,"39,398",60,서울,정당인,동국대학교,,,,
283,강원,철원군화천군양구군인제군,새누리당,한기호,남,1952-08-13,국회의원,동국대학교 행정대학원 안보행정학과 석사과정 5학기 수료,(현)제18대 국회의원,"36,612",65,강원,국회의원,동국대학교,,,,
24,부산,북구강서구을,새누리당,김도읍,남,1964-07-06,변호사,동아대학교 법학과 졸업,(전) 부산지방검찰청 외사부장검사,"52,837",53,부산,변호사,동아대학교,,,,
224,부산,동래구,새누리당,이진복,남,1957-10-18,국회의원,동아대학교 정책과학대학원 졸업(지방자치행정전공),(현)새누리당 부산시 동래구 18대 국회의원,"66,548",60,부산,국회의원,동아대학교,,,,
43,비례,비례대표,자유선진당,김영주(비),남,1954-08-26,당 부산시당 위원장,동의대학교 행정학과졸업,(전)대한건설기계협회 부산광역시지회 3·4대 회장,,63,비례,위원장,동의대학교,,,,
266,경남,의령군함안군합천군,새누리당,조현룡,남,1945-12-30,정당인,마산고등학교 졸업,(전) 건설교통부 부산항공청장,"39,614",72,경남,정당인,마산고등학교,,,,
54,제주,서귀포시,민주통합당,김재윤,남,1965-05-24,국회의원,명지대학교 대학원 국어국문학과(현대문학 문학박사) 졸업,현) 제18대 국회의원,"26,992",52,제주,국회의원,명지대학교,,,,
205,비례,비례대표,새누리당,이에리사,여,1954-08-15,용인대학교 교수,명지대학교 대학원 체육학과졸업(이학박사),(전)08년 베이징올림픽 한국선수단 총감독,,63,비례,교수,명지대학교,,,,
268,비례,비례대표,새누리당,주영순,남,1946-04-08,목포상공회의소 회장,목포 해양고 졸업,(현)목포상공회의소 회장,,71,비례,기업인,목포해양고,,,,
79,경기,수원시병,새누리당,남경필,남,1965-01-20,국회의원,"美 예일대학교 경영대학원 졸업(경영학 석사, 1994. 8.~1996. 5.)",(전) 한나라당 최고위원,"50,011",52,경기,국회의원,예일대학교,8.~1996.,5.),,
222,경기,성남시분당구갑,새누리당,이종훈,남,1960-07-01,대학교수(명지대 경영학과),美 코넬대대학원 경제학 박사(수학기간 4년),(전)KDI 연구위원,"66,028",57,경기,교수,코넬대대학원,,,,
34,전남,여수시갑,민주통합당,김성곤,남,1952-11-06,국회의원,美 템플대학교 졸업 종교학전공 철학박사(1985년 ~ 1991년),(전)17대 국회국방위원장,"23,519",65,전남,국회의원,템플대학교,1991년),,,
182,인천,남구을,새누리당,윤상현,남,1962-12-01,국회의원,美.조지워싱턴대학교 정치학 박사(1990.9.~1994.5.),(전)서울대학교 초빙교수,"50,514",55,인천,국회의원,조지워싱턴대학교,,,,
