대여일자,대여시간,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리,이동시간
2019-05-31,8,2409,2409. 역삼동 디오슈페리움 (우성아파트 사거리),정기권,,20대,1,22.87,0.24,1050.0,10
2019-05-25,15,946,946. 독바위역 ,정기권,,20대,1,30.89,0.24,1040.0,6
2019-05-25,22,344,344. 성균관대 E하우스 앞,정기권,M,20대,1,1267.70,11.43,49250.0,5
2019-05-27,2,1362,1362. 보문역6번출구 앞,정기권,,40대,1,36.87,0.31,1330.0,11
2019-05-25,9,1187,1187. 강서수산물도매시장,정기권,,30대,1,65.17,0.43,1870.0,12
2019-05-25,12,348,348. 독립문역 사거리,정기권,F,20대,1,87.85,0.87,3760.0,26
2019-05-25,10,558,558. 성동광진 교육지원청 앞,일일권,M,20대,1,26.93,0.23,1000.0,3
2019-05-31,18,2621,2621. 한성백제역 2번 출구,일일권,F,20대,2,57.24,0.61,2600.0,17
2019-05-29,21,2279,2279. 교대역 5번출구뒤,정기권,,20대,4,463.93,4.00,17220.0,103
2019-05-29,8,256,256. 동아에코빌입구,정기권,M,40대,1,24.09,0.18,770.0,4
2019-05-29,9,1169,1169. 염창역 1번 출구,정기권,,40대,1,56.56,0.45,1930.0,9
2019-05-24,17,340,340. 혜화동 로터리,정기권,F,20대,1,41.39,0.47,2010.0,16
2019-05-31,3,103,103. 망원역 2번출구 앞,일일권,M,20대,1,145.35,1.37,5920.0,33
2019-05-28,18,3538,3538. 서울숲 IT캐슬,정기권,,20대,2,394.02,3.77,16250.0,91
2019-05-30,7,1610,1610. 화랑대역 2번출구 앞,정기권,,20대,3,218.95,2.24,9670.0,72
2019-05-28,18,1433,1433. 중화역 2번출구,정기권,M,~10대,1,93.44,0.84,3630.0,23
2019-05-27,15,1971,1971. 오정초교 앞 보도육교,일일권,,20대,1,207.85,1.13,4860.0,26
2019-05-26,21,383,383. 신당역 12번 출구 뒤,정기권,,20대,1,44.81,0.38,1640.0,18
2019-05-31,13,1006,1006. 롯데캐슬 115동앞,정기권,,50대,1,38.35,0.35,1490.0,16
2019-05-28,19,813,813. 삼각지역 3번출구,일일권,,30대,1,42.99,0.39,1670.0,11
2019-05-25,11,204,204. 국회의사당역 5번출구 옆,일일권,F,30대,1,38.33,0.41,1760.0,11
2019-05-29,6,1651,1651. 맥도날드 상계점 앞,일일권,,30대,1,16.96,0.16,680.0,5
2019-05-26,23,1455,1455. 상봉역 2번 출구,일일권,M,30대,1,47.68,0.40,1720.0,10
2019-05-29,1,1685,1685. 불암고등학교 앞 횡단보도,정기권,,40대,1,53.22,0.39,1680.0,10
2019-05-28,18,1619,1619. 중계동 하나프라자빌딩 앞(중1-1),정기권,,20대,1,45.98,0.60,2580.0,16
2019-05-27,21,1610,1610. 화랑대역 2번출구 앞,정기권,,20대,1,404.71,4.74,20440.0,79
2019-05-28,23,2228,2228.뒷벌공원 옆,정기권,M,20대,1,26.00,0.23,1010.0,5
